model,confidence,var,es,var_pct_nav,es_pct_nav,effective_tail_mass
Historical,0.95,68694.29884114074,85163.99725438518,0.007578630107107487,0.009395633182402607,12.50000000000001
Parametric Normal,0.95,63412.25187062943,79521.52212404317,0.0069958935354678805,0.008773132732979501,
Monte Carlo Normal,0.95,63657.08049350164,79391.5820344257,0.007022904009461827,0.008758797221999579,
Historical,0.975,84150.71607155785,94010.95950220943,0.009283843945032276,0.010371665481718391,6.250000000000005
Parametric Normal,0.975,75560.35856841816,90126.76693773095,0.008336121308621566,0.00994314580530341,
Monte Carlo Normal,0.975,75644.54787299832,89768.38881779918,0.008345409409805379,0.009903608096130128,
Historical,0.99,93934.25887474962,104844.29922889837,0.010363203561379918,0.011566842898159796,2.500000000000002
Parametric Normal,0.99,89685.15794368208,102749.1034220382,0.009894425732832652,0.011335692507370071,
Monte Carlo Normal,0.99,89344.95750134665,101948.32230341068,0.009856893457837069,0.011247347127954114,
