position_id,component_var,standalone_var,component_share,historical_es_contribution,asset_class,factor
SPY,16837.565944904287,19635.721440847326,0.18774082948571558,16092.365371846525,US Equity,SPY_RETURN
QQQ,9663.672074343986,11993.926082196554,0.10775107382218474,10044.337576368942,US Equity,QQQ_RETURN
IWM,6886.847753204076,9114.11066055899,0.07678915788416944,7591.6029116893815,US Equity,IWM_RETURN
EFA,10200.184761558434,13659.844854570983,0.11373325303127252,9379.770071506575,International Equity,EFA_RETURN
EEM,6610.5290444849115,9524.921677696479,0.07370817196571146,7320.875213538228,Emerging Markets Equity,EEM_RETURN
VNQ,3667.659152035198,5103.276893053589,0.04089482848810179,4552.127734107973,Real Estate,VNQ_RETURN
AAPL,3873.9464932056144,5362.272988736005,0.043194956468028574,3855.105527672229,US Equity,AAPL_RETURN
MSFT,3503.751233536494,4789.893033376465,0.0390672360273556,4117.168168585831,US Equity,MSFT_RETURN
JPM,2859.32956016972,4296.878152227393,0.0318818590024142,2554.0835323117826,US Equity,JPM_RETURN
JNJ,1330.2964983841268,2541.9098248350087,0.014832961538847804,615.4864055448411,US Equity,JNJ_RETURN
XOM,2517.038218311839,4410.386761721614,0.028065270508777124,2599.446765085434,US Equity,XOM_RETURN
LQD,2399.8345484870642,5635.542233508164,0.02675843588293666,4264.938694420148,Investment Grade Credit,LQD_RETURN
HYG,3823.486566701329,5562.469951635333,0.04263232238607745,5508.642369933623,High Yield Credit,HYG_RETURN
TIP,1707.703991098459,5059.489518736202,0.019041099221465543,3304.809173401686,Inflation-Linked Bonds,TIP_RETURN
US2Y,176.53070127385845,688.2544922936213,0.0019683379649586075,119.98322994010326,Government Bonds,DGS2_CHANGE
US5Y,579.441599512867,2248.0369676300506,0.006460841601870492,799.4912967780659,Government Bonds,DGS5_CHANGE
US10Y,1280.5843883891366,4891.644880691646,0.014278665698434534,906.4820412686483,Government Bonds,DGS10_CHANGE
US30Y,1467.1972827029758,5527.256995707845,0.01635942129492936,1144.2504315325484,Government Bonds,DGS30_CHANGE
GLD,2284.053412503306,10626.805886014521,0.025467462675792807,1284.6361996687585,Precious Metals,GLD_RETURN
SLV,1736.7175210102068,4949.0570368927865,0.019364603473194318,1983.9552843028493,Precious Metals,SLV_RETURN
PPLT,872.8525947651638,2175.1151640470134,0.009732408514163212,562.8674804907856,Precious Metals,PPLT_RETURN
DBC,2058.5420574353348,6254.596737877577,0.022952984692606544,3274.616203386948,Commodities,DBC_RETURN
USO,1486.1457764526488,5490.742757266118,0.016570699216317108,1082.397443791062,Commodities,USO_RETURN
USD_CASH,0.0,0.0,0.0,0.0,Cash,CASH_RETURN
EURUSD_OVERLAY,1861.2467692110315,5982.547440156569,0.020753119154674447,1051.5203750364788,FX,EURUSD_RETURN
