portfolio_date,portfolio_pnl,portfolio_loss,position_pnl_sum,nav,funded_market_value,gross_funded_exposure,overlay_notional,rebalanced,holdings_version
2023-01-26,33242.94047765094,-33242.94047765094,33242.94047765094,10086992.92019387,10086992.92019387,10086992.92019387,749267.9368423403,False,1
2023-01-27,13996.643708455093,-13996.643708455093,13996.643708455093,10100989.563902326,10100989.563902326,10100989.563902326,749267.9368423403,False,1
2023-01-30,23029.936560453687,-23029.936560453687,23029.936560453687,10124019.50046278,10124019.50046278,10124019.50046278,749267.9368423403,False,1
2023-01-31,-51206.16859765262,51206.16859765262,-51206.16859765262,10072813.331865126,10072813.331865126,10072813.331865126,749267.9368423403,False,1
2023-02-01,-10431.999166773825,10431.999166773825,-10431.999166773825,10062381.332698353,10062381.332698353,10062381.332698353,754678.5999523764,True,2
2023-02-02,-31946.45537601529,31946.45537601529,-31946.45537601529,10030434.877322339,10030434.877322339,10030434.877322339,754678.5999523764,False,2
2023-02-03,11091.46000473508,-11091.46000473508,11091.46000473508,10041526.337327074,10041526.337327074,10041526.337327074,754678.5999523764,False,2
2023-02-06,-38640.351408232,38640.351408232,-38640.351408232,10002885.98591884,10002885.98591884,10002885.98591884,754678.5999523764,False,2
2023-02-07,-35665.71086437196,35665.71086437196,-35665.71086437196,9967220.27505447,9967220.27505447,9967220.27505447,754678.5999523764,False,2
2023-02-08,40335.18690030983,-40335.18690030983,40335.18690030983,10007555.461954778,10007555.461954778,10007555.461954778,754678.5999523764,False,2
2023-02-09,-36380.096659605435,36380.096659605435,-36380.096659605435,9971175.365295174,9971175.365295174,9971175.365295174,754678.5999523764,False,2
2023-02-10,-13103.36050895891,13103.36050895891,-13103.36050895891,9958072.004786212,9958072.004786212,9958072.004786212,754678.5999523764,False,2
2023-02-13,53544.165889134245,-53544.165889134245,53544.165889134245,10011616.170675348,10011616.170675348,10011616.170675348,754678.5999523764,False,2
2023-02-14,-21085.786023126813,21085.786023126813,-21085.786023126813,9990530.38465222,9990530.38465222,9990530.38465222,754678.5999523764,False,2
2023-02-15,8329.784402468586,-8329.784402468586,8329.784402468586,9998860.16905469,9998860.16905469,9998860.16905469,754678.5999523764,False,2
2023-02-16,48696.25235619598,-48696.25235619598,48696.25235619598,10047556.421410885,10047556.421410885,10047556.421410885,754678.5999523764,False,2
2023-02-17,-63262.28364602916,63262.28364602916,-63262.28364602916,9984294.137764856,9984294.137764856,9984294.137764856,754678.5999523764,False,2
2023-02-20,-34056.164801412284,34056.164801412284,-34056.164801412284,9950237.972963445,9950237.972963445,9950237.972963445,754678.5999523764,False,2
2023-02-21,-30078.855143510275,30078.855143510275,-30078.855143510275,9920159.117819935,9920159.117819935,9920159.117819935,754678.5999523764,False,2
2023-02-22,27516.74142634434,-27516.74142634434,27516.74142634434,9947675.85924628,9947675.85924628,9947675.85924628,754678.5999523764,False,2
2023-02-23,47801.62030877517,-47801.62030877517,47801.62030877517,9995477.479555054,9995477.479555054,9995477.479555054,754678.5999523764,False,2
2023-02-24,65409.68972982238,-65409.68972982238,65409.68972982238,10060887.169284876,10060887.169284876,10060887.169284876,754678.5999523764,False,2
2023-02-27,139338.3752959007,-139338.3752959007,139338.3752959007,10200225.544580776,10200225.544580776,10200225.544580776,754678.5999523764,False,2
2023-02-28,-31378.631913371068,31378.631913371068,-31378.631913371068,10168846.912667405,10168846.912667405,10168846.912667405,754678.5999523764,False,2
