model,confidence,forecasts,exceptions,expected_exceptions,observed_exception_rate,expected_exception_rate,lr_uc,p_value_uc,n00,n01,n10,n11,status,probability_after_no_breach,probability_after_breach,lr_ind,p_value_ind,lr_cc,p_value_cc,warnings
Historical,0.99,270,2,2.7000000000000024,0.007407407407407408,0.010000000000000009,0.2014131783657298,0.6535825790831618,265,2,2,0,OK,0.00749063670411985,0.0,0.029962827020710847,0.8625746026564725,0.23137600538644065,0.8907530925138649,"['LOW_POWER_FEWER_THAN_5_EXPECTED_EXCEPTIONS', 'UNSTABLE_TRANSITION_COUNTS']"
Parametric Normal,0.99,270,2,2.7000000000000024,0.007407407407407408,0.010000000000000009,0.2014131783657298,0.6535825790831618,265,2,2,0,OK,0.00749063670411985,0.0,0.029962827020710847,0.8625746026564725,0.23137600538644065,0.8907530925138649,"['LOW_POWER_FEWER_THAN_5_EXPECTED_EXCEPTIONS', 'UNSTABLE_TRANSITION_COUNTS']"
Monte Carlo Normal,0.99,270,2,2.7000000000000024,0.007407407407407408,0.010000000000000009,0.2014131783657298,0.6535825790831618,265,2,2,0,OK,0.00749063670411985,0.0,0.029962827020710847,0.8625746026564725,0.23137600538644065,0.8907530925138649,"['LOW_POWER_FEWER_THAN_5_EXPECTED_EXCEPTIONS', 'UNSTABLE_TRANSITION_COUNTS']"
