scenario_id,scenario_name,scenario_type,horizon,scenario_pnl,scenario_loss,loss_pct_nav,principal_loss_driver,reconciliation_difference
global_equity_selloff,Global Equity Selloff,hypothetical,instantaneous_multi_factor,-898185.7134212661,898185.7134212661,0.09909144433149857,SPY,0.0
parallel_rates_up_100bp,Parallel Rates +100 bps,hypothetical,instantaneous,-116957.01104748157,116957.01104748157,0.012903165766514834,US10Y,0.0
parallel_rates_up_200bp,Parallel Rates +200 bps,hypothetical,instantaneous,-220286.1986672345,220286.1986672345,0.024302855485292867,US10Y,0.0
foreign_currencies_down_10pct,Foreign Currencies Depreciate 10% versus USD,hypothetical,instantaneous,-46220.28719703288,46220.28719703288,0.0050992071543032175,EURUSD_OVERLAY,0.0
stocks_and_bonds_fall,Stocks and Bonds Fall Together,hypothetical,instantaneous_multi_factor,-1254378.1555357645,1254378.1555357645,0.1383880207763023,SPY,0.0
flight_to_quality,Flight to Quality,hypothetical,instantaneous_multi_factor,-739978.5086610328,739978.5086610328,0.08163739202462575,SPY,0.0
