forecast_date,realized_date,expected_next_date,max_input_date,confidence,lookback,holdings_version,model_version,hypothetical_pnl,realized_loss,principal_contributor,model,var,es,exception,breach_magnitude,seed
2024-01-03,2024-01-04,2024-01-04,2024-01-03,0.99,250,13,1.1.0,-27825.367166787306,27825.367166787306,SPY,Monte Carlo Normal,96022.56995735824,109220.65350444573,False,0.0,260000822.0
2024-01-04,2024-01-05,2024-01-05,2024-01-04,0.99,250,13,1.1.0,6887.519855551789,-6887.519855551789,QQQ,Historical,102983.40219932188,115799.38646682861,False,0.0,
2024-01-04,2024-01-05,2024-01-05,2024-01-04,0.99,250,13,1.1.0,6887.519855551789,-6887.519855551789,QQQ,Parametric Normal,93975.61729716854,107664.53047760807,False,0.0,
2024-01-04,2024-01-05,2024-01-05,2024-01-04,0.99,250,13,1.1.0,6887.519855551789,-6887.519855551789,QQQ,Monte Carlo Normal,92786.21824066018,104105.47984248248,False,0.0,261000825.0
2024-01-05,2024-01-08,2024-01-08,2024-01-05,0.99,250,13,1.1.0,-13879.336471943066,13879.336471943066,QQQ,Historical,102845.57896193412,115351.8916039046,False,0.0,
2024-01-05,2024-01-08,2024-01-08,2024-01-05,0.99,250,13,1.1.0,-13879.336471943066,13879.336471943066,QQQ,Parametric Normal,93757.60121630537,107414.75718898495,False,0.0,
2024-01-05,2024-01-08,2024-01-08,2024-01-05,0.99,250,13,1.1.0,-13879.336471943066,13879.336471943066,QQQ,Monte Carlo Normal,94496.33408823387,108288.00636908028,False,0.0,262000828.0
2024-01-08,2024-01-09,2024-01-09,2024-01-08,0.99,250,13,1.1.0,17333.03703135593,-17333.03703135593,US30Y,Historical,102811.59332858713,115227.76907533532,False,0.0,
2024-01-08,2024-01-09,2024-01-09,2024-01-08,0.99,250,13,1.1.0,17333.03703135593,-17333.03703135593,US30Y,Parametric Normal,93563.8665034826,107192.80220222153,False,0.0,
2024-01-08,2024-01-09,2024-01-09,2024-01-08,0.99,250,13,1.1.0,17333.03703135593,-17333.03703135593,US30Y,Monte Carlo Normal,93870.90658152645,107170.49379713918,False,0.0,263000831.0
2024-01-09,2024-01-10,2024-01-10,2024-01-09,0.99,250,13,1.1.0,-55124.80534062773,55124.80534062773,SPY,Historical,103209.37810834277,115859.40616921056,False,0.0,
2024-01-09,2024-01-10,2024-01-10,2024-01-09,0.99,250,13,1.1.0,-55124.80534062773,55124.80534062773,SPY,Parametric Normal,93939.37304858312,107623.00672795156,False,0.0,
2024-01-09,2024-01-10,2024-01-10,2024-01-09,0.99,250,13,1.1.0,-55124.80534062773,55124.80534062773,SPY,Monte Carlo Normal,92465.58376827849,106858.3547840876,False,0.0,264000834.0
2024-01-10,2024-01-11,2024-01-11,2024-01-10,0.99,250,13,1.1.0,-52327.214933490366,52327.214933490366,EEM,Historical,102331.37569446245,114584.39680667136,False,0.0,
2024-01-10,2024-01-11,2024-01-11,2024-01-10,0.99,250,13,1.1.0,-52327.214933490366,52327.214933490366,EEM,Parametric Normal,93359.27969949518,106958.41435964353,False,0.0,
2024-01-10,2024-01-11,2024-01-11,2024-01-10,0.99,250,13,1.1.0,-52327.214933490366,52327.214933490366,EEM,Monte Carlo Normal,91860.73824228572,107434.39717961155,False,0.0,265000837.0
2024-01-11,2024-01-12,2024-01-12,2024-01-11,0.99,250,13,1.1.0,37844.21477056893,-37844.21477056893,USO,Historical,101586.40700546978,113034.61917296133,False,0.0,
2024-01-11,2024-01-12,2024-01-12,2024-01-11,0.99,250,13,1.1.0,37844.21477056893,-37844.21477056893,USO,Parametric Normal,92617.32562474268,106108.38390076849,False,0.0,
2024-01-11,2024-01-12,2024-01-12,2024-01-11,0.99,250,13,1.1.0,37844.21477056893,-37844.21477056893,USO,Monte Carlo Normal,93784.20432004821,109888.45179853187,False,0.0,266000840.0
2024-01-12,2024-01-15,2024-01-15,2024-01-12,0.99,250,13,1.1.0,95282.76011333143,-95282.76011333143,EURUSD_OVERLAY,Historical,101946.58680788547,114041.13216249105,False,0.0,
2024-01-12,2024-01-15,2024-01-15,2024-01-12,0.99,250,13,1.1.0,95282.76011333143,-95282.76011333143,EURUSD_OVERLAY,Parametric Normal,93421.65305412143,107029.87329902896,False,0.0,
2024-01-12,2024-01-15,2024-01-15,2024-01-12,0.99,250,13,1.1.0,95282.76011333143,-95282.76011333143,EURUSD_OVERLAY,Monte Carlo Normal,95957.39719468518,110084.68770794768,False,0.0,267000843.0
2024-01-15,2024-01-16,2024-01-16,2024-01-15,0.99,250,13,1.1.0,-64232.03415913167,64232.03415913167,SPY,Historical,104050.52985222702,116452.44056141246,False,0.0,
2024-01-15,2024-01-16,2024-01-16,2024-01-15,0.99,250,13,1.1.0,-64232.03415913167,64232.03415913167,SPY,Parametric Normal,95896.76047434623,109865.51605344136,False,0.0,
2024-01-15,2024-01-16,2024-01-16,2024-01-15,0.99,250,13,1.1.0,-64232.03415913167,64232.03415913167,SPY,Monte Carlo Normal,97674.21093109812,111870.91188277595,False,0.0,268000846.0
2024-01-16,2024-01-17,2024-01-17,2024-01-16,0.99,250,13,1.1.0,18415.85590650326,-18415.85590650326,GLD,Historical,103069.66244774386,114843.23074163772,False,0.0,
2024-01-16,2024-01-17,2024-01-17,2024-01-16,0.99,250,13,1.1.0,18415.85590650326,-18415.85590650326,GLD,Parametric Normal,94711.19496582173,108507.25571425034,False,0.0,
2024-01-16,2024-01-17,2024-01-17,2024-01-16,0.99,250,13,1.1.0,18415.85590650326,-18415.85590650326,GLD,Monte Carlo Normal,97689.95883341438,112222.02131352115,False,0.0,269000849.0
2024-01-17,2024-01-18,2024-01-18,2024-01-17,0.99,250,13,1.1.0,-7259.628956279834,7259.628956279834,EEM,Historical,103653.17529833569,115958.2485150581,False,0.0,
2024-01-17,2024-01-18,2024-01-18,2024-01-17,0.99,250,13,1.1.0,-7259.628956279834,7259.628956279834,EEM,Parametric Normal,95085.11816787541,108935.6462600287,False,0.0,
2024-01-17,2024-01-18,2024-01-18,2024-01-17,0.99,250,13,1.1.0,-7259.628956279834,7259.628956279834,EEM,Monte Carlo Normal,95264.13078288661,107470.61604354091,False,0.0,270000852.0
2024-01-18,2024-01-19,2024-01-19,2024-01-18,0.99,250,13,1.1.0,8187.985205920443,-8187.985205920443,EEM,Historical,103742.80989051191,115828.55941594331,False,0.0,
2024-01-18,2024-01-19,2024-01-19,2024-01-18,0.99,250,13,1.1.0,8187.985205920443,-8187.985205920443,EEM,Parametric Normal,94749.92762011963,108551.63034204287,False,0.0,
2024-01-18,2024-01-19,2024-01-19,2024-01-18,0.99,250,13,1.1.0,8187.985205920443,-8187.985205920443,EEM,Monte Carlo Normal,94274.18074263877,108149.77930486335,False,0.0,271000855.0
2024-01-19,2024-01-22,2024-01-22,2024-01-19,0.99,250,13,1.1.0,-32240.143083198996,32240.143083198996,SPY,Historical,103994.30902027184,116039.86951228685,False,0.0,
2024-01-19,2024-01-22,2024-01-22,2024-01-19,0.99,250,13,1.1.0,-32240.143083198996,32240.143083198996,SPY,Parametric Normal,94896.15909449512,108719.1625539346,False,0.0,
2024-01-19,2024-01-22,2024-01-22,2024-01-19,0.99,250,13,1.1.0,-32240.143083198996,32240.143083198996,SPY,Monte Carlo Normal,96194.65588912013,109465.31927664549,False,0.0,272000858.0
2024-01-22,2024-01-23,2024-01-23,2024-01-22,0.99,250,13,1.1.0,-36861.00312635032,36861.00312635032,EFA,Historical,103658.37444733414,114997.61027591373,False,0.0,
2024-01-22,2024-01-23,2024-01-23,2024-01-22,0.99,250,13,1.1.0,-36861.00312635032,36861.00312635032,EFA,Parametric Normal,93984.3948588751,107674.58661862694,False,0.0,
2024-01-22,2024-01-23,2024-01-23,2024-01-22,0.99,250,13,1.1.0,-36861.00312635032,36861.00312635032,EFA,Monte Carlo Normal,94322.69536210656,107977.2447130225,False,0.0,273000861.0
2024-01-23,2024-01-24,2024-01-24,2024-01-23,0.99,250,13,1.1.0,9991.69503154768,-9991.69503154768,LQD,Historical,103099.51989279863,114308.03241990562,False,0.0,
2024-01-23,2024-01-24,2024-01-24,2024-01-23,0.99,250,13,1.1.0,9991.69503154768,-9991.69503154768,LQD,Parametric Normal,93188.38532131047,106762.62673389867,False,0.0,
2024-01-23,2024-01-24,2024-01-24,2024-01-23,0.99,250,13,1.1.0,9991.69503154768,-9991.69503154768,LQD,Monte Carlo Normal,90723.01222106411,104586.81607884457,False,0.0,274000864.0
